Type,Municipality,NearStation,Price,FloorPlan,Area,LandShape,Frontage,BuildingYear,Structure,Use,Direction,Renovation
Residential Land(Land and Building),Chuo Ward,2.0,860000000,1K,240,Semi-trapezoidal Shaped,22.0,2000.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,1500000000,1K,145,Irregular Shaped,15.0,1963.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,700000000,1K,110,Semi-rectangular Shaped,7.5,1989.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,71000000,1K,75,Irregular Shaped,8.0,1956.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1400000000,1K,470,Irregular Shaped,15.5,1961.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,260000000,1K,65,Semi-rectangular Shaped,5.0,1992.0,SRC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,110000000,1K,65,Rectangular Shaped,4.8,1973.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,150000000,1K,65,Rectangular Shaped,6.0,1991.0,RC,Shop,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,45000000,1K,40,Semi-shaped,6.0,1971.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,90000000,1K,60,Rectangular Shaped,3.6,1986.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,40000000,1K,35,Semi-square Shaped,6.7,1988.0,S,Shop,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,2500000000,1K,250,Semi-rectangular Shaped,7.0,1999.0,S,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,180000000,1K,120,Irregular Shaped,5.5,1956.0,RC,Shop,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,300000000,1K,210,Semi-rectangular Shaped,11.0,1988.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,140000000,1K,70,Semi-trapezoidal Shaped,6.0,1980.0,S,Shop,East,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,100000000,1K,90,Semi-rectangular Shaped,7.0,1980.0,S,Warehouse,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,480000000,1K,130,Rectangular Shaped,7.0,1988.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,190000000,1K,120,Rectangular Shaped,4.8,2006.0,S,Shop,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,220000000,1K,100,Rectangular Shaped,6.8,1992.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,140000000,1K,115,Rectangular Shaped,8.5,1964.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,190000000,1K,135,Rectangular Shaped,6.0,1970.0,RC,Warehouse,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,1600000000,1K,200,Semi-rectangular Shaped,12.0,2019.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,600000000,1K,165,Trapezoidal Shaped,6.2,1993.0,S,Office,East,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,320000000,1K,105,Semi-rectangular Shaped,11.6,1984.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,310000000,1K,145,Rectangular Shaped,6.3,1983.0,S,Office,North,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,30000000,1K,45,Rectangular Shaped,11.5,1958.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,2400000000,1K,320,Trapezoidal Shaped,18.5,1981.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,0.0,2500000000,1K,470,Irregular Shaped,13.0,1976.0,SRC,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,65000000,1K,35,Rectangular Shaped,3.8,1956.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,1100000000,1K,160,Semi-square Shaped,13.7,1994.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,60000000,1K,35,Rectangular Shaped,4.5,1982.0,SRC,Office,East,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,580000000,1K,120,Semi-rectangular Shaped,9.0,1990.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,76000000,1K,70,Flag-shaped etc.,2.2,1970.0,W,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,1100000000,1K,220,Semi-rectangular Shaped,9.0,1986.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,150000000,1K,30,Semi-rectangular Shaped,3.0,1962.0,W,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,550000000,1K,105,Trapezoidal Shaped,8.7,1986.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,290000000,1K,110,Semi-rectangular Shaped,6.0,1959.0,SRC,Housing Complex,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,2100000000,1K,440,Irregular Shaped,28.5,1998.0,SRC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,170000000,1K,85,Rectangular Shaped,6.3,1963.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,80000000,1K,60,Rectangular Shaped,6.0,1950.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,120000000,1K,85,Rectangular Shaped,6.0,1963.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,0.0,58000000,1K,60,Rectangular Shaped,6.2,1988.0,S,House,North,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,850000000,1K,370,Semi-rectangular Shaped,17.4,1991.0,SRC,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,360000000,1K,105,Rectangular Shaped,7.0,2011.0,S,Housing Complex,East,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,530000000,1K,230,Semi-rectangular Shaped,10.0,1988.0,SRC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,82000000,1K,35,Semi-rectangular Shaped,8.0,2005.0,S,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,300000000,1K,90,Rectangular Shaped,9.2,1988.0,RC,Shop,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,0.0,110000000,1K,45,Rectangular Shaped,3.5,2015.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,200000000,1K,90,Rectangular Shaped,7.0,1985.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,78000000,1K,85,Rectangular Shaped,5.0,1985.0,S,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,160000000,1K,55,Rectangular Shaped,3.0,1980.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,36000000,1K,30,Rectangular Shaped,3.9,1963.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,200000000,1K,60,Semi-rectangular Shaped,5.0,1966.0,RC,House,South,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,550000000,1K,190,Semi-shaped,15.5,1988.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,160000000,1K,70,Semi-rectangular Shaped,3.8,1960.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,80000000,1K,65,Square Shaped,8.2,1974.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,79000000,1K,65,Semi-rectangular Shaped,6.0,1984.0,S,House,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,2400000000,1K,380,Irregular Shaped,16.0,1993.0,S,Office,East,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,300000000,1K,165,Semi-trapezoidal Shaped,19.0,1962.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,360000000,1K,165,Semi-trapezoidal Shaped,19.0,1962.0,RC,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,340000000,1K,170,Semi-rectangular Shaped,12.0,1991.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,290000000,1K,105,Rectangular Shaped,5.8,1991.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,320000000,1K,130,Semi-square Shaped,11.0,1991.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,130000000,1K,85,Semi-rectangular Shaped,7.0,1988.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,190000000,1K,115,Irregular Shaped,18.1,1981.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,220000000,1K,145,Rectangular Shaped,13.0,1961.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,920000000,1K,450,Irregular Shaped,23.0,1986.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,100000000,1K,50,Rectangular Shaped,5.5,1968.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,82000000,1K,50,Rectangular Shaped,5.5,1968.0,B,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,910000000,1K,330,Semi-shaped,15.0,1990.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,120000000,1K,175,Semi-rectangular Shaped,9.0,1993.0,S,Parking Lot,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,170000000,1K,105,Rectangular Shaped,7.3,1988.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,6.0,220000000,1K,155,Rectangular Shaped,17.0,1973.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,120000000,1K,50,Rectangular Shaped,5.5,1982.0,S,House,Northeast,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,440000000,1K,95,Semi-rectangular Shaped,8.5,2003.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,170000000,1K,60,Rectangular Shaped,6.8,1994.0,SRC,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,5.0,360000000,1K,210,Semi-rectangular Shaped,7.6,1998.0,SRC,Housing Complex,West,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,330000000,1K,95,Semi-rectangular Shaped,8.5,2003.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,210000000,1K,130,Rectangular Shaped,7.5,1991.0,RC,Office,South,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,210000000,1K,250,Irregular Shaped,19.0,1992.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Chuo Ward,4.0,90000000,1K,60,Semi-rectangular Shaped,6.0,1994.0,RC,House,West,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,630000000,1K,105,Trapezoidal Shaped,8.5,1977.0,RC,Office,Southwest,Not yet
Residential Land(Land and Building),Chuo Ward,3.0,150000000,1K,45,Rectangular Shaped,6.4,1987.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,1.0,420000000,1K,50,Rectangular Shaped,4.0,1979.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Chuo Ward,2.0,520000000,1K,85,Rectangular Shaped,7.7,2009.0,S,Shop,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,7.0,270000000,1K,105,Semi-trapezoidal Shaped,10.2,1999.0,RC,House,East,Not yet
Residential Land(Land and Building),Minato Ward,7.0,630000000,1K,400,Semi-trapezoidal Shaped,18.0,1982.0,RC,Housing Complex,East,Not yet
Residential Land(Land and Building),Minato Ward,4.0,1400000000,1K,520,Semi-square Shaped,22.5,1988.0,RC,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,230000000,1K,155,Semi-rectangular Shaped,10.0,1986.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,680000000,1K,120,Semi-rectangular Shaped,8.0,1968.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,4.0,2200000000,1K,550,Semi-rectangular Shaped,15.0,2016.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,1.0,1000000000,1K,95,Semi-rectangular Shaped,7.5,1962.0,RC,House,West,Not yet
Residential Land(Land and Building),Minato Ward,5.0,68000000,1K,40,Semi-rectangular Shaped,5.5,2002.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,1000000000,1K,360,Rectangular Shaped,9.5,1972.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,5.0,230000000,1K,55,Semi-rectangular Shaped,4.2,1973.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,3200000000,1K,1200,Irregular Shaped,14.5,1986.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,420000000,1K,220,Semi-rectangular Shaped,10.0,1988.0,RC,House,South,Not yet
Residential Land(Land and Building),Minato Ward,5.0,1100000000,1K,220,Rectangular Shaped,12.3,2015.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,5.0,370000000,1K,110,Irregular Shaped,6.5,1988.0,SRC,House,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,360000000,1K,220,Rectangular Shaped,10.0,1974.0,RC,House,North,Not yet
Residential Land(Land and Building),Minato Ward,2.0,1300000000,1K,360,Semi-rectangular Shaped,9.8,1983.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,460000000,1K,95,Semi-rectangular Shaped,7.0,1974.0,RC,Shop,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,150000000,1K,100,Rectangular Shaped,4.5,1988.0,S,Office,North,Not yet
Residential Land(Land and Building),Minato Ward,4.0,140000000,1K,55,Semi-rectangular Shaped,6.3,1972.0,RC,House,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,360000000,1K,125,Rectangular Shaped,10.6,1981.0,SRC,House,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,6.0,500000000,1K,230,Irregular Shaped,10.0,1974.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,3.0,1200000000,1K,250,Irregular Shaped,7.2,1979.0,RC,House,West,Not yet
Residential Land(Land and Building),Minato Ward,1.0,250000000,1K,55,Semi-rectangular Shaped,4.0,1988.0,RC,Shop,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,57000000,1K,35,Rectangular Shaped,4.2,1992.0,S,House,North,Not yet
Residential Land(Land and Building),Minato Ward,3.0,1300000000,1K,280,Irregular Shaped,10.0,1981.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Minato Ward,8.0,130000000,1K,110,Semi-rectangular Shaped,6.9,2005.0,LS,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,6.0,570000000,1K,330,Rectangular Shaped,12.0,1987.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,5.0,140000000,1K,95,Rectangular Shaped,4.0,1977.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,5.0,470000000,1K,270,Rectangular Shaped,13.0,1977.0,RC,Housing Complex,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,6.0,500000000,1K,580,Semi-rectangular Shaped,18.4,1974.0,RC,Office,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,1200000000,1K,320,Rectangular Shaped,12.9,1996.0,SRC,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,570000000,1K,60,Semi-rectangular Shaped,3.7,1987.0,SRC,Office,North,Not yet
Residential Land(Land and Building),Minato Ward,4.0,270000000,1K,145,Semi-rectangular Shaped,6.0,1973.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,180000000,1K,95,Semi-rectangular Shaped,8.0,1979.0,S,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,4.0,150000000,1K,60,Semi-rectangular Shaped,4.0,1965.0,RC,Shop,West,Not yet
Residential Land(Land and Building),Minato Ward,4.0,520000000,1K,120,Semi-shaped,14.0,1973.0,SRC,Warehouse,West,Not yet
Residential Land(Land and Building),Minato Ward,3.0,380000000,1K,100,Semi-square Shaped,10.5,2016.0,RC,Housing Complex,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,1.0,1300000000,1K,140,Semi-shaped,12.5,2001.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,870000000,1K,320,Semi-rectangular Shaped,13.5,1993.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,1.0,370000000,1K,100,Semi-rectangular Shaped,6.2,1984.0,RC,Office,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,3.0,82000000,1K,60,Semi-rectangular Shaped,5.3,1974.0,RC,House,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,1.0,30000000000,1K,2000,Irregular Shaped,50.0,2001.0,SRC,Office,West,Not yet
Residential Land(Land and Building),Minato Ward,9.0,79000000,1K,100,Semi-rectangular Shaped,9.0,2008.0,LS,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,6.0,110000000,1K,90,Irregular Shaped,4.9,2003.0,RC,House,North,Not yet
Residential Land(Land and Building),Minato Ward,6.0,83000000,1K,65,Semi-rectangular Shaped,4.6,2004.0,W,House,Northwest,Not yet
Residential Land(Land and Building),Minato Ward,5.0,230000000,1K,185,Irregular Shaped,8.8,1990.0,RC,Housing Complex,North,Not yet
Residential Land(Land and Building),Minato Ward,6.0,850000000,1K,530,Semi-trapezoidal Shaped,18.0,2005.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,2600000000,1K,410,Irregular Shaped,10.2,1988.0,W,Office,South,Not yet
Residential Land(Land and Building),Minato Ward,1.0,180000000,1K,75,Semi-rectangular Shaped,6.0,1969.0,RC,House,North,Not yet
Residential Land(Land and Building),Minato Ward,2.0,220000000,1K,70,Semi-trapezoidal Shaped,6.0,1988.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,2.0,190000000,1K,70,Semi-trapezoidal Shaped,6.0,1988.0,RC,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,1.0,160000000,1K,70,Semi-trapezoidal Shaped,5.0,1971.0,S,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,2.0,770000000,1K,220,Irregular Shaped,9.6,1989.0,SRC,Housing Complex,West,Not yet
Residential Land(Land and Building),Minato Ward,3.0,1400000000,1K,155,Semi-trapezoidal Shaped,8.6,2016.0,RC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,210000000,1K,70,Semi-rectangular Shaped,5.0,1982.0,RC,House,East,Not yet
Residential Land(Land and Building),Minato Ward,3.0,2600000000,1K,410,Irregular Shaped,19.5,1987.0,SRC,House,East,Not yet
Residential Land(Land and Building),Minato Ward,2.0,180000000,1K,70,Semi-rectangular Shaped,6.5,1968.0,RC,House,West,Not yet
Residential Land(Land and Building),Minato Ward,1.0,350000000,1K,135,Semi-rectangular Shaped,7.5,1979.0,SRC,Housing Complex,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,10.0,80000000,1K,60,Semi-trapezoidal Shaped,5.0,1989.0,RC,House,East,Not yet
Residential Land(Land and Building),Minato Ward,3.0,640000000,1K,145,Semi-trapezoidal Shaped,15.5,1971.0,RC,Office,West,Not yet
Residential Land(Land and Building),Minato Ward,4.0,70000000,1K,45,Semi-rectangular Shaped,4.0,1997.0,W,House,West,Not yet
Residential Land(Land and Building),Minato Ward,7.0,7500000000,1K,2000,Irregular Shaped,34.0,1978.0,RC,House,North,Not yet
Residential Land(Land and Building),Minato Ward,8.0,2500000000,1K,1600,Semi-shaped,35.0,1965.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,630000000,1K,140,Semi-square Shaped,11.0,1969.0,RC,House,South,Not yet
Residential Land(Land and Building),Minato Ward,2.0,780000000,1K,125,Semi-square Shaped,11.0,1969.0,RC,House,South,Not yet
Residential Land(Land and Building),Minato Ward,2.0,530000000,1K,170,Rectangular Shaped,16.0,1982.0,RC,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,4.0,4300000000,1K,220,Irregular Shaped,13.0,1992.0,S,Office,Southeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,350000000,1K,160,Semi-square Shaped,11.5,1988.0,W,House,Northeast,Not yet
Residential Land(Land and Building),Minato Ward,2.0,1800000000,1K,50,Rectangular Shaped,3.6,1989.0,S,Office,Southwest,Not yet
Residential Land(Land and Building),Minato Ward,2.0,130000000,1K,50,Semi-rectangular Shaped,3.0,1989.0,SRC,Office,Southwest,Not yet
